o_city,d_city,transport_type,Average Price,Average Duration,Distance,Category
5,23,train,20320.0,618.8,1013.91,3
6,227,train,11755.0,822.5,490.84,2
6,504,bus,3104.21,564.53,394.69,2
6,504,carpooling,4050.0,395.0,394.69,2
6,504,train,6585.71,373.71,394.69,2
6,628,bus,2797.5,730.0,537.49,2
6,845,bus,2420.0,251.0,91.46,1
6,845,carpooling,848.99,78.19,91.46,1
6,10480,carpooling,3833.33,350.0,379.08,2
11,28,bus,5190.0,892.5,642.05,2
11,33,bus,2630.0,1449.0,269.68,2
11,200,bus,2535.0,1745.0,312.06,2
11,200,carpooling,3566.67,330.0,312.06,2
11,200,train,7421.25,620.94,312.06,2
11,424,bus,3685.42,1111.25,596.06,2
11,424,carpooling,6266.67,547.78,596.06,2
11,453,bus,6060.0,1472.5,811.17,3
11,453,carpooling,7900.0,655.0,811.17,3
11,453,train,9689.13,633.35,811.17,3
11,485,bus,1583.75,622.5,253.79,2
11,485,carpooling,2323.21,219.17,253.79,2
11,485,train,5606.67,268.33,253.79,2
11,524,bus,2790.0,710.0,623.87,2
11,524,carpooling,6500.0,520.0,623.87,2
11,524,train,16000.0,454.0,623.87,2
11,580,bus,3010.0,337.0,143.08,1
11,580,carpooling,1387.5,130.0,143.08,1
11,580,train,3020.71,274.64,143.08,1
11,628,bus,2963.0,940.0,638.0,2
11,628,carpooling,5843.24,506.62,638.0,2
11,628,train,8689.2,600.8,638.0,2
11,639,bus,1860.0,918.33,226.84,2
11,639,carpooling,2500.0,230.0,226.84,2
11,843,bus,1890.0,860.0,58.96,1
11,843,carpooling,606.67,61.0,58.96,1
11,1088,bus,3480.0,1215.0,303.67,2
11,1088,carpooling,3215.0,302.0,303.67,2
11,2621,bus,8752.0,1253.0,665.1,2
11,2621,carpooling,6150.0,610.0,665.1,2
11,5520,carpooling,3487.5,297.5,304.02,2
11,8952,carpooling,3950.0,392.5,375.21,2
11,8952,train,11000.0,1254.33,375.21,2
11,8972,carpooling,6500.0,520.0,650.73,2
11,8972,train,12808.33,503.33,650.73,2
11,10033,bus,2878.57,407.43,107.43,1
11,10033,train,2358.75,487.44,107.43,1
15,126,carpooling,4550.0,460.0,523.82,2
21,11,bus,4912.5,1328.75,747.28,2
21,11,carpooling,6375.0,627.5,747.28,2
21,11,train,10317.5,438.7,747.28,2
21,23,train,6220.0,334.0,328.88,2
21,126,bus,3128.33,1096.67,602.81,2
21,126,carpooling,5450.0,460.0,602.81,2
21,126,train,8646.82,430.5,602.81,2
21,132,carpooling,974.0,92.4,105.0,1
21,453,bus,3490.0,340.0,99.35,1
21,453,carpooling,1277.88,100.96,99.35,1
21,453,train,3327.14,461.86,99.35,1
21,562,bus,2250.0,555.0,407.08,2
21,562,train,9738.33,303.44,407.08,2
21,628,bus,1142.5,290.0,116.17,1
21,628,carpooling,1106.25,115.0,116.17,1
21,635,bus,4535.0,1067.5,760.65,2
23,21,train,13297.0,427.0,328.88,2
23,99,bus,3960.59,704.41,580.46,2
23,453,bus,2558.0,468.0,229.58,2
23,453,carpooling,2096.67,206.0,229.58,2
23,453,train,10791.38,378.9,229.58,2
23,628,bus,3132.84,768.73,430.97,2
23,628,carpooling,4059.78,343.7,430.97,2
23,628,train,11801.36,400.77,430.97,2
23,712,bus,2300.0,19065.0,57.61,1
23,1061,bus,1500.0,362.5,176.29,1
23,1061,train,4774.67,236.73,176.29,1
28,5,carpooling,6150.0,475.0,559.39,2
28,5,train,12960.0,392.0,559.39,2
28,317,bus,4753.33,908.33,545.54,2
28,429,carpooling,522.22,80.0,68.02,1
28,429,train,2925.0,146.0,68.02,1
28,485,bus,6090.0,955.0,454.11,2
28,485,carpooling,4562.5,405.0,454.11,2
28,485,train,8660.0,614.25,454.11,2
28,542,bus,2760.0,1193.75,554.21,2
28,542,carpooling,5700.0,670.0,554.21,2
28,628,bus,1985.56,538.89,264.43,2
28,628,carpooling,2292.21,201.3,264.43,2
28,697,bus,1000.0,322.5,106.39,1
28,697,carpooling,856.25,100.83,106.39,1
28,848,bus,1595.0,729.5,95.76,1
28,848,carpooling,956.25,83.75,95.76,1
28,1477,bus,5169.0,1020.0,483.52,2
28,5520,bus,7335.0,1850.0,536.24,2
28,5520,carpooling,5450.0,490.0,536.24,2
28,5520,train,11720.0,724.0,536.24,2
28,6228,carpooling,5850.0,490.0,566.34,2
28,6228,train,12846.67,1079.33,566.34,2
28,7330,bus,1990.0,1280.0,142.72,1
28,7330,train,3538.57,218.5,142.72,1
28,7668,carpooling,4500.0,419.29,472.62,2
28,7668,train,10700.0,386.8,472.62,2
30,485,bus,3880.0,825.0,366.13,2
30,542,bus,3156.47,981.47,375.67,2
30,542,carpooling,4650.0,475.0,375.67,2
30,628,bus,1590.0,540.0,394.77,2
30,628,train,6381.43,241.93,394.77,2
30,638,train,2950.0,155.8,70.78,1
30,719,carpooling,650.0,110.0,88.69,1
30,719,train,2210.0,162.44,88.69,1
30,876,bus,5780.0,571.0,314.81,2
30,876,carpooling,2150.0,430.0,314.81,2
30,876,train,13606.67,356.67,314.81,2
33,152,bus,5708.33,649.17,371.51,2
33,152,carpooling,3800.0,350.0,371.51,2
33,152,train,15428.57,1086.43,371.51,2
33,188,bus,2400.0,232.5,57.12,1
33,188,carpooling,764.29,72.86,57.12,1
33,188,train,2745.0,195.0,57.12,1
33,453,bus,4204.4,943.8,573.28,2
33,453,carpooling,5883.33,462.0,573.28,2
33,453,train,11295.83,400.67,573.28,2
33,485,carpooling,1068.18,101.82,101.35,1
33,504,bus,2685.0,1047.5,295.59,2
33,504,carpooling,3112.5,300.0,295.59,2
33,504,train,6210.77,321.58,295.59,2
33,528,bus,2626.67,945.0,242.28,2
33,562,bus,4042.5,1067.5,603.44,2
33,8663,bus,2810.0,187.0,84.99,1
33,8663,carpooling,850.0,70.0,84.99,1
33,8663,train,2760.71,208.57,84.99,1
46,94,bus,1900.0,1055.0,86.79,1
46,94,carpooling,850.0,90.0,86.79,1
46,171,bus,2334.0,802.5,98.65,1
46,171,carpooling,850.0,72.5,98.65,1
46,171,train,2496.67,613.0,98.65,1
46,446,bus,2573.89,880.0,88.64,1
46,446,carpooling,775.0,120.0,88.64,1
46,628,bus,3020.0,593.33,163.39,1
46,628,carpooling,1550.0,160.0,163.39,1
46,697,bus,3276.25,945.62,405.5,2
46,697,train,7610.0,765.4,405.5,2
46,843,bus,7470.0,1149.0,831.8,3
46,843,carpooling,7270.0,624.0,831.8,3
46,843,train,13749.09,756.45,831.8,3
46,1463,bus,3610.5,1141.67,281.57,2
46,5105,bus,1860.0,595.0,103.57,1
46,5105,carpooling,900.0,123.33,103.57,1
46,5105,train,3396.67,699.0,103.57,1
46,7603,carpooling,1522.22,143.33,177.24,1
46,7603,train,5195.62,576.38,177.24,1
52,367,carpooling,500.0,60.0,50.21,1
52,580,carpooling,1466.67,150.0,139.0,1
54,628,bus,1944.74,604.05,148.18,1
54,628,carpooling,1228.57,122.86,148.18,1
54,628,train,3000.0,156.56,148.18,1
54,726,bus,3915.0,1000.0,298.18,2
54,726,carpooling,2900.0,320.0,298.18,2
54,726,train,9350.0,525.5,298.18,2
54,845,bus,4136.67,848.33,493.7,2
54,845,carpooling,5350.0,415.0,493.7,2
54,845,train,12008.57,720.29,493.7,2
54,1088,bus,4113.33,615.0,262.54,2
54,1088,carpooling,3000.0,230.0,262.54,2
54,1088,train,8890.0,535.0,262.54,2
54,6211,carpooling,300.0,50.0,36.98,1
54,6211,train,1500.0,93.0,36.98,1
54,8999,train,1500.0,111.0,29.87,1
57,28,bus,5750.0,1317.5,571.89,2
57,107,bus,3000.0,430.0,144.8,1
57,107,carpooling,1200.0,148.33,144.8,1
57,107,train,3000.0,159.33,144.8,1
57,148,bus,6815.0,1933.75,868.47,3
57,148,carpooling,9050.0,745.0,868.47,3
57,317,bus,1083.33,913.33,155.58,1
57,317,carpooling,1677.5,160.5,155.58,1
57,317,train,3516.67,225.33,155.58,1
57,453,bus,4568.75,855.0,754.75,2
